iter	Passed	Remaining
0	92	92635
1	93	46514
2	93	31112
3	93	23405
4	94	18786
5	94	15704
6	95	13503
7	95	11854
8	95	10569
9	96	9542
10	96	8700
11	97	8002
12	97	7410
13	98	6903
14	98	6466
15	98	6081
16	99	5746
17	99	5450
18	100	5183
19	100	4945
20	101	4726
21	101	4528
22	102	4343
23	102	4174
24	103	4021
25	103	3879
26	104	3749
27	104	3627
28	104	3515
29	105	3409
30	105	3311
31	106	3220
32	106	3132
33	107	3052
34	107	2975
35	108	2904
36	109	2838
37	109	2774
38	110	2712
39	110	2652
40	111	2596
41	111	2544
42	112	2494
43	112	2445
44	113	2400
45	113	2354
46	113	2310
47	114	2270
48	114	2230
49	115	2192
50	115	2156
51	116	2121
52	116	2087
53	117	2055
54	117	2024
55	118	1994
56	118	1965
57	119	1937
58	119	1909
59	120	1883
60	120	1857
61	121	1832
62	121	1807
63	122	1785
64	122	1762
65	123	1740
66	123	1719
67	124	1699
68	124	1678
69	124	1658
70	125	1639
71	125	1620
72	126	1602
73	126	1584
74	127	1567
75	127	1550
76	128	1535
77	128	1518
78	128	1503
79	129	1487
80	129	1472
81	130	1459
82	130	1443
83	131	1429
84	131	1416
85	132	1402
86	132	1390
87	132	1377
88	133	1364
89	133	1352
90	134	1340
91	134	1329
92	135	1317
93	135	1306
94	135	1295
95	136	1285
96	136	1275
97	137	1265
98	137	1254
99	138	1244
100	138	1234
101	139	1225
102	139	1215
103	140	1206
104	140	1201
105	141	1192
106	141	1183
107	142	1175
108	142	1167
109	143	1160
110	143	1151
111	144	1144
112	144	1135
113	145	1128
114	145	1120
115	146	1112
116	146	1105
117	146	1098
118	147	1091
119	147	1083
120	148	1077
121	148	1069
122	149	1063
123	149	1057
124	150	1050
125	150	1044
126	150	1037
127	151	1030
128	151	1024
129	152	1018
130	152	1012
131	153	1006
132	153	1000
133	153	994
134	154	989
135	154	983
136	155	978
137	155	973
138	156	968
139	156	963
140	157	958
141	157	951
142	157	946
143	158	941
144	158	937
145	159	932
146	160	928
147	160	924
148	161	920
149	161	916
150	162	913
151	162	908
152	163	904
153	164	901
154	164	897
155	165	893
156	165	888
157	165	884
158	166	880
159	166	875
160	167	870
161	167	866
162	168	862
163	168	859
164	169	855
165	169	851
166	169	847
167	170	843
168	170	840
169	171	836
170	171	832
171	172	828
172	172	825
173	173	821
174	173	817
175	173	814
176	174	811
177	174	807
178	175	804
179	175	800
180	176	797
181	176	794
182	177	790
183	177	787
184	177	784
185	178	780
186	178	777
187	179	774
188	179	770
189	180	767
190	180	765
191	181	762
192	181	759
193	182	756
194	182	753
195	183	750
196	183	748
197	184	745
198	184	742
199	184	739
200	185	736
201	185	733
202	186	731
203	186	728
204	187	726
205	187	723
206	188	720
207	188	718
208	189	715
209	189	712
210	189	710
211	190	707
212	190	705
213	191	702
214	191	700
215	192	697
216	192	695
217	193	693
218	193	691
219	194	689
220	194	686
221	195	684
222	195	682
223	196	679
224	196	677
225	197	674
226	197	672
227	197	670
228	198	667
229	198	665
230	199	663
231	199	661
232	200	659
233	200	657
234	201	655
235	201	652
236	202	651
237	202	649
238	203	646
239	203	644
240	204	642
241	204	640
242	204	638
243	205	636
244	206	634
245	206	633
246	206	630
247	207	629
248	208	627
249	208	625
250	208	623
251	209	621
252	209	619
253	210	618
254	210	616
255	211	614
256	211	612
257	212	610
258	212	608
259	213	606
260	213	604
261	213	602
262	214	600
263	214	598
264	215	597
265	215	595
266	216	593
267	216	591
268	216	589
269	217	587
270	217	585
271	218	584
272	218	582
273	219	580
274	219	578
275	220	577
276	220	575
277	220	573
278	221	571
279	221	570
280	222	568
281	222	566
282	223	565
283	223	563
284	223	561
285	224	560
286	224	558
287	225	557
288	225	555
289	226	554
290	226	552
291	227	551
292	227	549
293	228	548
294	228	546
295	229	545
296	229	543
297	230	541
298	230	540
299	230	538
300	231	537
301	231	536
302	232	534
303	232	533
304	233	531
305	233	529
306	234	528
307	234	526
308	235	525
309	235	523
310	235	522
311	236	520
312	236	519
313	237	518
314	237	516
315	238	515
316	238	513
317	238	512
318	239	510
319	239	509
320	240	508
321	240	506
322	241	505
323	241	504
324	242	502
325	242	501
326	242	500
327	243	498
328	243	497
329	244	496
330	244	494
331	245	493
332	245	492
333	246	490
334	246	489
335	247	488
336	247	487
337	247	485
338	248	484
339	248	483
340	249	481
341	249	480
342	250	479
343	250	478
344	251	476
345	251	475
346	252	474
347	252	472
348	252	471
349	253	470
350	253	469
351	254	467
352	254	466
353	255	465
354	255	464
355	255	462
356	256	461
357	256	460
358	257	459
359	257	458
360	258	457
361	258	455
362	259	454
363	259	453
364	259	452
365	260	451
366	260	449
367	261	448
368	261	447
369	262	446
370	262	445
371	263	444
372	263	443
373	264	442
374	264	440
375	264	439
376	265	438
377	265	437
378	266	436
379	266	435
380	267	434
381	267	432
382	268	431
383	268	430
384	268	429
385	269	428
386	269	427
387	270	426
388	270	424
389	270	423
390	271	422
391	271	421
392	272	420
393	272	419
394	273	418
395	273	417
396	273	416
397	274	415
398	274	413
399	275	412
400	275	411
401	276	410
402	276	409
403	277	408
404	277	407
405	277	406
406	278	405
407	278	404
408	279	403
409	279	402
410	280	401
411	280	400
412	280	399
413	281	398
414	282	397
415	282	396
416	282	395
417	283	394
418	283	393
419	284	392
420	284	391
421	284	390
422	285	389
423	285	388
424	286	387
425	286	386
426	287	385
427	287	384
428	287	383
429	288	382
430	288	381
431	289	380
432	289	379
433	290	378
434	290	377
435	291	376
436	291	375
437	292	374
438	292	373
439	292	372
440	293	371
441	293	370
442	294	370
443	294	369
444	295	368
445	295	367
446	296	366
447	296	365
448	296	364
449	297	363
450	297	362
451	298	361
452	298	360
453	298	359
454	299	358
455	299	357
456	300	356
457	300	356
458	301	355
459	301	354
460	302	353
461	302	352
462	303	351
463	303	350
464	303	349
465	304	348
466	304	347
467	305	347
468	305	346
469	306	345
470	306	344
471	307	343
472	307	342
473	308	342
474	308	341
475	309	340
476	309	339
477	310	339
478	310	338
479	311	337
480	311	336
481	312	335
482	313	335
483	313	334
484	314	333
485	314	333
486	315	332
487	315	331
488	316	330
489	316	329
490	317	329
491	317	328
492	318	327
493	319	326
494	319	326
495	320	325
496	320	324
497	320	323
498	321	322
499	321	321
500	322	321
501	322	320
502	323	319
503	323	318
504	324	318
505	325	317
506	325	316
507	326	316
508	327	315
509	327	314
510	328	314
511	328	313
512	329	312
513	329	312
514	330	311
515	331	311
516	332	310
517	332	309
518	333	309
519	334	308
520	334	307
521	335	306
522	335	306
523	336	305
524	336	304
525	337	304
526	338	303
527	338	302
528	339	302
529	339	301
530	340	300
531	341	300
532	341	299
533	342	298
534	342	297
535	343	297
536	343	296
537	344	295
538	344	294
539	345	294
540	345	293
541	346	292
542	346	291
543	347	291
544	347	290
545	348	289
546	348	288
547	349	288
548	349	287
549	350	286
550	351	286
551	351	285
552	351	284
553	352	283
554	352	283
555	353	282
556	353	281
557	354	280
558	354	279
559	355	279
560	355	278
561	356	277
562	356	276
563	357	276
564	357	275
565	358	274
566	358	273
567	358	272
568	359	272
569	359	271
570	360	270
571	360	269
572	361	269
573	361	268
574	362	267
575	362	266
576	363	266
577	363	265
578	363	264
579	364	263
580	364	263
581	365	262
582	365	261
583	366	260
584	366	260
585	366	259
586	367	258
587	367	257
588	368	256
589	368	256
590	369	255
591	369	254
592	370	254
593	370	253
594	371	252
595	371	251
596	372	251
597	372	250
598	372	249
599	373	248
600	373	248
601	374	247
602	374	246
603	375	246
604	375	245
605	376	244
606	376	243
607	377	243
608	377	242
609	378	241
610	378	241
611	379	240
612	379	239
613	379	238
614	380	238
615	380	237
616	381	236
617	382	236
618	382	235
619	383	234
620	383	234
621	384	233
622	384	232
623	385	232
624	385	231
625	386	230
626	386	229
627	386	229
628	387	228
629	388	227
630	388	227
631	389	226
632	389	225
633	390	225
634	390	224
635	390	223
636	391	223
637	391	222
638	392	221
639	392	220
640	393	220
641	393	219
642	394	218
643	394	218
644	395	217
645	395	216
646	396	216
647	396	215
648	397	214
649	397	214
650	398	213
651	398	212
652	398	211
653	399	211
654	399	210
655	400	210
656	400	209
657	401	208
658	401	207
659	402	207
660	402	206
661	403	205
662	403	205
663	403	204
664	404	203
665	404	203
666	405	202
667	405	201
668	406	200
669	406	200
670	407	199
671	407	198
672	408	198
673	408	197
674	408	196
675	409	196
676	409	195
677	410	194
678	410	194
679	411	193
680	411	192
681	411	192
682	412	191
683	412	190
684	413	190
685	413	189
686	414	188
687	414	188
688	415	187
689	415	186
690	416	186
691	416	185
692	417	184
693	417	184
694	417	183
695	418	182
696	418	182
697	419	181
698	420	180
699	420	180
700	421	179
701	421	179
702	422	178
703	422	177
704	423	177
705	423	176
706	424	175
707	425	175
708	425	174
709	426	174
710	427	173
711	427	172
712	428	172
713	428	171
714	429	171
715	429	170
716	430	169
717	430	169
718	431	168
719	431	167
720	432	167
721	432	166
722	433	166
723	434	165
724	434	164
725	435	164
726	435	163
727	436	163
728	436	162
729	437	161
730	437	161
731	438	160
732	438	159
733	439	159
734	439	158
735	440	157
736	440	157
737	441	156
738	442	156
739	442	155
740	443	154
741	443	154
742	443	153
743	444	152
744	445	152
745	445	151
746	446	151
747	446	150
748	446	149
749	447	149
750	447	148
751	448	147
752	448	147
753	449	146
754	449	145
755	449	145
756	450	144
757	451	143
758	451	143
759	451	142
760	452	142
761	452	141
762	453	140
763	453	140
764	454	139
765	454	138
766	455	138
767	455	137
768	455	136
769	456	136
770	457	135
771	457	135
772	457	134
773	458	133
774	458	133
775	459	132
776	459	131
777	460	131
778	460	130
779	460	130
780	461	129
781	461	128
782	462	128
783	462	127
784	463	126
785	463	126
786	464	125
787	464	125
788	465	124
789	465	123
790	466	123
791	466	122
792	467	121
793	467	121
794	467	120
795	468	120
796	468	119
797	469	118
798	469	118
799	470	117
800	470	116
801	471	116
802	471	115
803	472	115
804	472	114
805	473	113
806	473	113
807	473	112
808	474	112
809	474	111
810	475	110
811	476	110
812	476	109
813	477	109
814	477	108
815	478	107
816	478	107
817	478	106
818	479	105
819	480	105
820	480	104
821	481	104
822	481	103
823	482	102
824	482	102
825	483	101
826	483	101
827	484	100
828	484	99
829	485	99
830	485	98
831	486	98
832	486	97
833	487	96
834	487	96
835	488	95
836	488	95
837	489	94
838	489	93
839	490	93
840	490	92
841	491	92
842	491	91
843	491	90
844	492	90
845	492	89
846	493	89
847	493	88
848	494	87
849	494	87
850	495	86
851	495	86
852	496	85
853	496	84
854	497	84
855	497	83
856	498	83
857	498	82
858	499	81
859	499	81
860	500	80
861	500	80
862	501	79
863	501	79
864	502	78
865	502	77
866	503	77
867	503	76
868	504	76
869	504	75
870	505	74
871	505	74
872	505	73
873	506	73
874	506	72
875	507	71
876	508	71
877	508	70
878	509	70
879	509	69
880	510	68
881	510	68
882	510	67
883	511	67
884	511	66
885	512	65
886	512	65
887	513	64
888	513	64
889	514	63
890	514	62
891	515	62
892	515	61
893	516	61
894	516	60
895	517	60
896	517	59
897	518	58
898	518	58
899	519	57
900	519	57
901	520	56
902	520	55
903	521	55
904	521	54
905	522	54
906	522	53
907	523	53
908	523	52
909	524	51
910	524	51
911	524	50
912	525	50
913	526	49
914	526	48
915	527	48
916	527	47
917	528	47
918	528	46
919	528	45
920	529	45
921	529	44
922	530	44
923	530	43
924	531	43
925	531	42
926	532	41
927	532	41
928	533	40
929	533	40
930	534	39
931	534	39
932	535	38
933	535	37
934	536	37
935	536	36
936	536	36
937	537	35
938	537	34
939	538	34
940	538	33
941	539	33
942	540	32
943	540	32
944	540	31
945	541	30
946	541	30
947	542	29
948	542	29
949	543	28
950	543	28
951	543	27
952	544	26
953	545	26
954	545	25
955	546	25
956	546	24
957	546	23
958	547	23
959	547	22
960	548	22
961	548	21
962	549	21
963	549	20
964	550	19
965	550	19
966	550	18
967	551	18
968	551	17
969	552	17
970	553	16
971	553	15
972	554	15
973	554	14
974	554	14
975	555	13
976	555	13
977	556	12
978	556	11
979	557	11
980	557	10
981	558	10
982	558	9
983	559	9
984	559	8
985	560	7
986	560	7
987	561	6
988	561	6
989	562	5
990	562	5
991	563	4
992	563	3
993	564	3
994	564	2
995	565	2
996	565	1
997	566	1
998	566	0
999	567	0
